generator size nanoseconds
mixed_lcg 1000 1925
xorshift_weyl 1000 2304
lagged_fibonacci 1000 4931
std_mt19937 1000 3696
mixed_lcg 5000 9032
xorshift_weyl 5000 9851
lagged_fibonacci 5000 18708
std_mt19937 5000 11548
mixed_lcg 10000 18482
xorshift_weyl 10000 24257
lagged_fibonacci 10000 31117
std_mt19937 10000 19813
mixed_lcg 50000 69410
xorshift_weyl 50000 90752
lagged_fibonacci 50000 180138
std_mt19937 50000 84349
mixed_lcg 100000 112698
xorshift_weyl 100000 158384
lagged_fibonacci 100000 274902
std_mt19937 100000 137670
mixed_lcg 250000 241849
xorshift_weyl 250000 354624
lagged_fibonacci 250000 660054
std_mt19937 250000 340750
mixed_lcg 500000 468308
xorshift_weyl 500000 716309
lagged_fibonacci 500000 1326660
std_mt19937 500000 711211
mixed_lcg 1000000 965611
xorshift_weyl 1000000 1422517
lagged_fibonacci 1000000 2795313
std_mt19937 1000000 1777321
