generator sample mean deviation variation uniform_chi uniform_ok random_chi random_ok
mixed_lcg 1 4943.821000 2863.766259 0.579262 12.680000 yes 90.589590 yes
xorshift_weyl 1 5170.159000 2824.782657 0.546363 31.600000 no 119.618619 yes
lagged_fibonacci 1 5125.680000 2858.558145 0.557693 24.560000 yes 111.810811 yes
mixed_lcg 2 4900.685000 2927.241967 0.597313 24.560000 yes 88.987988 yes
xorshift_weyl 2 5104.050000 2971.173769 0.582121 26.640000 yes 117.416416 yes
lagged_fibonacci 2 5016.830000 2967.889884 0.591587 22.880000 yes 101.000000 yes
mixed_lcg 3 5082.410000 2887.195128 0.568076 13.640000 yes 85.984985 yes
xorshift_weyl 3 5206.376000 2862.910611 0.549885 20.160000 yes 121.420420 yes
lagged_fibonacci 3 4993.948000 2927.937488 0.586297 13.960000 yes 76.975976 yes
mixed_lcg 4 4945.900000 2890.455792 0.584415 19.320000 yes 83.782783 yes
xorshift_weyl 4 4868.217000 2895.210862 0.594717 20.000000 yes 85.784785 yes
lagged_fibonacci 4 5032.442000 2898.858118 0.576034 14.000000 yes 73.372372 yes
mixed_lcg 5 4995.524000 2899.281559 0.580376 13.160000 yes 121.020020 yes
xorshift_weyl 5 5047.179000 2938.502473 0.582207 19.320000 yes 111.010010 yes
lagged_fibonacci 5 5000.632000 2876.547553 0.575237 17.720000 yes 93.392392 yes
mixed_lcg 6 4939.455000 2934.914479 0.594178 17.080000 yes 99.398398 yes
xorshift_weyl 6 4981.384000 2911.230130 0.584422 18.280000 yes 93.992993 yes
lagged_fibonacci 6 4890.150000 2883.555826 0.589666 22.000000 yes 80.579580 yes
mixed_lcg 7 4899.951000 2856.785350 0.583023 20.040000 yes 117.216216 yes
xorshift_weyl 7 5075.656000 2875.612521 0.566550 12.520000 yes 105.004004 yes
lagged_fibonacci 7 4933.796000 2972.120317 0.602400 19.680000 yes 107.606607 yes
mixed_lcg 8 5111.647000 2871.600724 0.561776 24.160000 yes 106.405405 yes
xorshift_weyl 8 4967.046000 2845.827648 0.572942 12.200000 yes 100.799800 yes
lagged_fibonacci 8 5066.322000 2917.623654 0.575886 24.480000 yes 100.399399 yes
mixed_lcg 9 4891.228000 2850.274600 0.582732 10.120000 yes 96.795796 yes
xorshift_weyl 9 4974.632000 2877.202131 0.578375 18.040000 yes 84.583584 yes
lagged_fibonacci 9 5058.544000 2891.767091 0.571660 12.320000 yes 109.208208 yes
mixed_lcg 10 5064.860000 2900.454041 0.572662 13.920000 yes 88.587588 yes
xorshift_weyl 10 4936.683000 2897.722305 0.586978 15.720000 yes 89.788789 yes
lagged_fibonacci 10 4771.630000 2901.661486 0.608107 28.400000 yes 112.211211 yes
mixed_lcg 11 4978.476000 2906.823202 0.583878 13.680000 yes 82.381381 yes
xorshift_weyl 11 4956.755000 2866.088767 0.578219 16.480000 yes 100.599600 yes
lagged_fibonacci 11 5024.716000 2902.526894 0.577650 32.120000 no 108.207207 yes
mixed_lcg 12 4831.311000 2919.885480 0.604367 21.960000 yes 94.593594 yes
xorshift_weyl 12 5003.814000 2849.228100 0.569411 24.720000 yes 102.001001 yes
lagged_fibonacci 12 5103.978000 2857.851460 0.559926 12.120000 yes 83.182182 yes
mixed_lcg 13 4825.790000 2846.957384 0.589946 20.400000 yes 87.986987 yes
xorshift_weyl 13 5107.058000 2963.136943 0.580204 28.800000 yes 114.813814 yes
lagged_fibonacci 13 5067.320000 2885.663038 0.569465 29.840000 yes 109.208208 yes
mixed_lcg 14 4957.076000 2839.772855 0.572873 25.160000 yes 99.398398 yes
xorshift_weyl 14 5154.491000 2870.613330 0.556915 15.400000 yes 95.794795 yes
lagged_fibonacci 14 5220.918000 2919.739695 0.559239 21.480000 yes 85.784785 yes
mixed_lcg 15 4952.286000 2838.416590 0.573153 8.960000 yes 107.006006 yes
xorshift_weyl 15 5252.737000 2919.041123 0.555718 18.440000 yes 127.426426 no
lagged_fibonacci 15 4941.300000 2880.410122 0.582926 17.120000 yes 95.194194 yes
mixed_lcg 16 4960.487000 2834.567521 0.571429 8.360000 yes 94.793794 yes
xorshift_weyl 16 5143.094000 2915.038239 0.566787 14.800000 yes 115.014014 yes
lagged_fibonacci 16 4902.194000 2904.393582 0.592468 17.560000 yes 91.590591 yes
mixed_lcg 17 4974.553000 2906.377326 0.584249 22.000000 yes 89.988989 yes
xorshift_weyl 17 4970.514000 2976.217283 0.598775 14.120000 yes 101.400400 yes
lagged_fibonacci 17 4915.232000 2892.954925 0.588569 20.960000 yes 101.200200 yes
mixed_lcg 18 4875.700000 2885.826928 0.591880 17.200000 yes 102.001001 yes
xorshift_weyl 18 4950.459000 2842.483475 0.574186 12.720000 yes 87.586587 yes
lagged_fibonacci 18 5018.062000 2867.239762 0.571384 14.080000 yes 110.609610 yes
mixed_lcg 19 5033.834000 2896.935648 0.575493 16.720000 yes 111.010010 yes
xorshift_weyl 19 5056.185000 2880.252261 0.569649 15.400000 yes 80.179179 yes
lagged_fibonacci 19 5021.660000 2950.614379 0.587577 20.560000 yes 101.800801 yes
mixed_lcg 20 5107.898000 2876.448612 0.563137 17.000000 yes 82.181181 yes
xorshift_weyl 20 4973.590000 2851.878383 0.573404 21.840000 yes 122.821822 yes
lagged_fibonacci 20 4788.522000 2939.264315 0.613815 18.720000 yes 92.991992 yes
