size linear tree hash multimap red_black collisions
100 24334 1042 750 9917 625 97
500 41000 2000 2458 33167 2458 497
1000 38959 5542 4042 68041 5625 997
5000 495666 21333 19375 330917 19959 4997
10000 712000 24708 19708 542875 19083 9997
50000 2308500 126292 70875 1779959 120208 49997
100000 5157250 256542 298417 3416084 336167 99997
250000 11327333 709167 805375 10174000 1106708 249997
500000 23836417 1661250 1991792 19499042 1848333 499997
1000000 46103084 3238041 3160125 36241083 4501291 999997
